D0=10BDF4 D1=E4A2 D2=0 D3=FFFF D4=16405000 D5=84598540 D6=84598540 D7=FFFF A0=108910 A1=102100 A2=F7588 A3=108F4A A4=20F129C A5=108000 A6=108E74 PC=32BBE -- 032BBE: bne     $32bca
D0=10003C D1=88 D2=0 D3=FFFF D4=16405000 D5=84598540 D6=84598540 D7=FFFF A0=108E5A A1=3C0002 A2=3372E A3=108F4A A4=20F129C A5=108000 A6=108E74 PC=3374C -- 03374C: move.w  (A0)+, (A1)
D0=10003C D1=88 D2=0 D3=FFFF D4=16405000 D5=84598540 D6=84598540 D7=FFFF A0=108E5C A1=3C0002 A2=3372E A3=108F4A A4=20F129C A5=108000 A6=108E74 PC=3374E -- 03374E: move.w  (A0)+, (A1)
D0=10003C D1=88 D2=0 D3=FFFF D4=16405000 D5=84598540 D6=84598540 D7=FFFF A0=108E5E A1=3C0002 A2=3372E A3=108F4A A4=20F129C A5=108000 A6=108E74 PC=33750 -- 033750: move.w  (A0)+, (A1)
D0=10003C D1=88 D2=0 D3=FFFF D4=16405000 D5=84598540 D6=84598540 D7=FFFF A0=108E60 A1=3C0002 A2=3372E A3=108F4A A4=20F129C A5=108000 A6=108E74 PC=33752 -- 033752: move.w  (A0)+, (A1)
D0=10003C D1=88 D2=0 D3=FFFF D4=16405000 D5=84598540 D6=84598540 D7=FFFF A0=108E62 A1=3C0002 A2=3372E A3=108F4A A4=20F129C A5=108000 A6=108E74 PC=33754 -- 033754: move.w  (A0)+, (A1)
D0=10003C D1=88 D2=0 D3=FFFF D4=16405000 D5=84598540 D6=84598540 D7=FFFF A0=108E64 A1=3C0002 A2=3372E A3=108F4A A4=20F129C A5=108000 A6=108E74 PC=33756 -- 033756: move.w  (A0)+, (A1)
D0=10003C D1=88 D2=0 D3=FFFF D4=16405000 D5=84598540 D6=84598540 D7=FFFF A0=108E66 A1=3C0002 A2=3372E A3=108F4A A4=20F129C A5=108000 A6=108E74 PC=33758 -- 033758: move.w  (A0)+, (A1)
D0=10003C D1=88 D2=0 D3=FFFF D4=16405000 D5=84598540 D6=84598540 D7=FFFF A0=108E68 A1=3C0002 A2=3372E A3=108F4A A4=20F129C A5=108000 A6=108E74 PC=3375A -- 03375A: move.w  (A0)+, (A1)
D0=10003C D1=88 D2=0 D3=FFFF D4=16405000 D5=84598540 D6=84598540 D7=FFFF A0=108E6A A1=3C0002 A2=3372E A3=108F4A A4=20F129C A5=108000 A6=108E74 PC=3375C -- 03375C: move.w  (A0)+, (A1)
D0=10003C D1=88 D2=0 D3=FFFF D4=16405000 D5=84598540 D6=84598540 D7=FFFF A0=108E6C A1=3C0002 A2=3372E A3=108F4A A4=20F129C A5=108000 A6=108E74 PC=3375E -- 03375E: move.w  (A0)+, (A1)
D0=10003C D1=88 D2=0 D3=FFFF D4=16405000 D5=84598540 D6=84598540 D7=FFFF A0=108E6E A1=3C0002 A2=3372E A3=108F4A A4=20F129C A5=108000 A6=108E74 PC=33760 -- 033760: move.w  (A0)+, (A1)
D0=10003C D1=88 D2=0 D3=FFFF D4=16405000 D5=84598540 D6=84598540 D7=FFFF A0=108E70 A1=3C0002 A2=3372E A3=108F4A A4=20F129C A5=108000 A6=108E74 PC=33762 -- 033762: move.w  (A0)+, (A1)
D0=10003C D1=88 D2=0 D3=FFFF D4=16405000 D5=84598540 D6=84598540 D7=FFFF A0=108E72 A1=3C0002 A2=3372E A3=108F4A A4=20F129C A5=108000 A6=108E74 PC=33764 -- 033764: move.w  (A0)+, (A1)
D0=10003C D1=88 D2=0 D3=FFFF D4=16405000 D5=84598540 D6=84598540 D7=FFFF A0=108E74 A1=3C0002 A2=3372E A3=108F4A A4=20F129C A5=108000 A6=108E74 PC=33766 -- 033766: move.w  (A0)+, (A1)
D0=10003C D1=88 D2=0 D3=FFFF D4=16405000 D5=84598540 D6=84598540 D7=FFFF A0=108E76 A1=3C0002 A2=3372E A3=108F4A A4=20F129C A5=108000 A6=108E74 PC=33768 -- 033768: move.w  (A0)+, (A1)
D0=10003C D1=88 D2=0 D3=FFFF D4=16405000 D5=84598540 D6=84598540 D7=FFFF A0=108E78 A1=3C0002 A2=3372E A3=108F4A A4=20F129C A5=108000 A6=108E74 PC=3376A -- 03376A: move.w  (A0)+, (A1)
D0=10003C D1=88 D2=0 D3=FFFF D4=16405000 D5=84598540 D6=84598540 D7=FFFF A0=108E7A A1=3C0002 A2=3372E A3=108F4A A4=20F129C A5=108000 A6=108E74 PC=3376C -- 03376C: move.w  (A0)+, (A1)
D0=10003C D1=88 D2=0 D3=FFFF D4=16405000 D5=84598540 D6=84598540 D7=FFFF A0=108E7C A1=3C0002 A2=3372E A3=108F4A A4=20F129C A5=108000 A6=108E74 PC=3376E -- 03376E: move.w  (A0)+, (A1)
D0=10003C D1=88 D2=0 D3=FFFF D4=16405000 D5=84598540 D6=84598540 D7=FFFF A0=108E7E A1=3C0002 A2=3372E A3=108F4A A4=20F129C A5=108000 A6=108E74 PC=33770 -- 033770: move.w  (A0)+, (A1)
D0=10003C D1=88 D2=0 D3=FFFF D4=16405000 D5=84598540 D6=84598540 D7=FFFF A0=108E80 A1=3C0002 A2=3372E A3=108F4A A4=20F129C A5=108000 A6=108E74 PC=33772 -- 033772: move.w  (A0)+, (A1)
D0=10003C D1=88 D2=0 D3=FFFF D4=16405000 D5=84598540 D6=84598540 D7=FFFF A0=108E82 A1=3C0002 A2=3372E A3=108F4A A4=20F129C A5=108000 A6=108E74 PC=33774 -- 033774: move.w  (A0)+, (A1)
D0=10003C D1=88 D2=0 D3=FFFF D4=16405000 D5=84598540 D6=84598540 D7=FFFF A0=108E84 A1=3C0002 A2=3372E A3=108F4A A4=20F129C A5=108000 A6=108E74 PC=33776 -- 033776: move.w  (A0)+, (A1)
D0=10003C D1=88 D2=0 D3=FFFF D4=16405000 D5=84598540 D6=84598540 D7=FFFF A0=108E86 A1=3C0002 A2=3372E A3=108F4A A4=20F129C A5=108000 A6=108E74 PC=33778 -- 033778: move.w  (A0)+, (A1)
D0=10003C D1=88 D2=0 D3=FFFF D4=16405000 D5=84598540 D6=84598540 D7=FFFF A0=108E88 A1=3C0002 A2=3372E A3=108F4A A4=20F129C A5=108000 A6=108E74 PC=3377A -- 03377A: move.w  (A0)+, (A1)
