D0=100013 D1=DCA4 D2=0 D3=FFFF D4=8403600 D5=842184D8 D6=842184D8 D7=FFFF A0=109906 A1=400000 A2=F6CC4 A3=108FAA A4=30F12BA A5=108000 A6=108E3C PC=33648 -- 033648: lsl.w   #5, D0
D0=100260 D1=DCA4 D2=0 D3=FFFF D4=8403600 D5=842184D8 D6=842184D8 D7=FFFF A0=109906 A1=400000 A2=F6CC4 A3=108FAA A4=30F12BA A5=108000 A6=108E3C PC=3364A -- 03364A: adda.w  D0, A1
D0=100260 D1=DCA4 D2=0 D3=FFFF D4=8403600 D5=842184D8 D6=842184D8 D7=FFFF A0=109906 A1=400260 A2=F6CC4 A3=108FAA A4=30F12BA A5=108000 A6=108E3C PC=3364C -- 03364C: move.l  (A0)+, (A1)+
D0=100260 D1=DCA4 D2=0 D3=FFFF D4=8403600 D5=842184D8 D6=842184D8 D7=FFFF A0=10990A A1=400264 A2=F6CC4 A3=108FAA A4=30F12BA A5=108000 A6=108E3C PC=3364E -- 03364E: move.l  (A0)+, (A1)+
D0=100260 D1=DCA4 D2=0 D3=FFFF D4=8403600 D5=842184D8 D6=842184D8 D7=FFFF A0=10990E A1=400268 A2=F6CC4 A3=108FAA A4=30F12BA A5=108000 A6=108E3C PC=33650 -- 033650: move.l  (A0)+, (A1)+
D0=100260 D1=DCA4 D2=0 D3=FFFF D4=8403600 D5=842184D8 D6=842184D8 D7=FFFF A0=109912 A1=40026C A2=F6CC4 A3=108FAA A4=30F12BA A5=108000 A6=108E3C PC=33652 -- 033652: move.l  (A0)+, (A1)+
D0=100260 D1=DCA4 D2=0 D3=FFFF D4=8403600 D5=842184D8 D6=842184D8 D7=FFFF A0=109916 A1=400270 A2=F6CC4 A3=108FAA A4=30F12BA A5=108000 A6=108E3C PC=33654 -- 033654: move.l  (A0)+, (A1)+
D0=100260 D1=DCA4 D2=0 D3=FFFF D4=8403600 D5=842184D8 D6=842184D8 D7=FFFF A0=10991A A1=400274 A2=F6CC4 A3=108FAA A4=30F12BA A5=108000 A6=108E3C PC=33656 -- 033656: move.l  (A0)+, (A1)+
D0=100260 D1=DCA4 D2=0 D3=FFFF D4=8403600 D5=842184D8 D6=842184D8 D7=FFFF A0=10991E A1=400278 A2=F6CC4 A3=108FAA A4=30F12BA A5=108000 A6=108E3C PC=33658 -- 033658: move.l  (A0)+, (A1)+
D0=100260 D1=DCA4 D2=0 D3=FFFF D4=8403600 D5=842184D8 D6=842184D8 D7=FFFF A0=109922 A1=40027C A2=F6CC4 A3=108FAA A4=30F12BA A5=108000 A6=108E3C PC=3365A -- 03365A: move.l  (A0)+, (A1)+
D0=100260 D1=DCA4 D2=0 D3=FFFF D4=8403600 D5=842184D8 D6=842184D8 D7=FFFF A0=109926 A1=400280 A2=F6CC4 A3=108FAA A4=30F12BA A5=108000 A6=108E3C PC=3365C -- 03365C: bra     $3363c
D0=100260 D1=DCA4 D2=0 D3=FFFF D4=8403600 D5=842184D8 D6=842184D8 D7=FFFF A0=109926 A1=400280 A2=F6CC4 A3=108FAA A4=30F12BA A5=108000 A6=108E3C PC=3363C -- 03363C: move.w  (A0), D0
D0=100014 D1=DCA4 D2=0 D3=FFFF D4=8403600 D5=842184D8 D6=842184D8 D7=FFFF A0=109926 A1=400280 A2=F6CC4 A3=108FAA A4=30F12BA A5=108000 A6=108E3C PC=3363E -- 03363E: bmi     $3365e
